tweets,word_level_score_dict
"guys. show me the data. show me your github. tell me your story. show me something that makes me think you're not a bag of useless opinions.
","{""guys"": -0.018655599999999994, ""show"": 0.00024004999999993615, ""me"": -0.012153700000000045, ""the"": 0.0006307999999999314, ""data"": -0.07639560000000001, ""your"": 0.012610499999999969, ""github"": -0.000122400000000078, ""tell"": -0.03815500000000005, ""story"": -0.06326446000000008, ""something"": -0.03680936000000001, ""that"": -0.055051300000000025, ""makes"": -0.030333300000000007, ""think"": 0.017197159999999934, ""you're"": -0.00015494999999998704, ""not"": -0.15635850000000007, ""a"": -0.0056667000000000245, ""bag"": -0.015945199999999993, ""of"": -0.03959750000000006, ""useless"": 0.31426920999999997, ""opinions"": -0.03295720000000002}"
"I doubt he'll bother emailing
","{""i"": -0.005013799999999999, ""doubt"": 0.0003372299999999939, ""he'll"": 0.018190659999999997, ""bother"": 0.017573303999999998, ""emailing"": 0.017067726}"
"@TheDoubleclicks you make the drive to LA so tempting. :P
","{""@thedoubleclicks"": 0.21399297, ""you"": 0.22330891, ""make"": 0.010912690000000003, ""the"": -0.04105247000000001, ""drive"": 0.03345733000000001, ""to"": 0.08719723000000001, ""la"": -0.028737929999999967, ""so"": 0.047159530000000005, ""tempting"": 0.0034955999999999876, "":p"": 0.03566885000000003}"
"ur face is classified as a utility by the FCC.
","{""ur"": 0.154957186, ""face"": -0.02061574000000002, ""is"": -0.2074757, ""classified"": -0.07138977999999999, ""as"": -0.09107221000000001, ""a"": -0.07215271999999998, ""utility"": 0.006822689999999992, ""by"": 0.002183650000000009, ""the"": 0.006409639999999994, ""fcc"": 0.023444309999999996}"
"RT @bridgetminamore: what is seen cannot be unseen http://t.co/EaReoiSZuP
","{""rt"": 0.05261084999999999, ""@bridgetminamore"": 0.07730118, "":"": 0.026902109999999993, ""what"": -0.01552822000000001, ""is"": -0.04819301000000001, ""seen"": -0.07346957000000001, ""cannot"": 0.032354919999999995, ""be"": 0.026227109999999998, ""unseen"": 0.028457834999999987, ""http://t.co/eareoiszup"": -0.10560417000000002}"
"RT @wordspinster: #blameonenotall is an odd concept. Sure
","{""rt"": 0.09306400999999999, ""@wordspinster"": 0.09650080999999999, "":"": -0.016610300000000022, ""#blameonenotall"": -0.03985757000000001, ""is"": -0.03731478000000002, ""an"": -0.03810016000000002, ""odd"": 0.0065114000000000005, ""concept"": -0.04298717000000002, ""sure"": -0.059341420000000006}"
"@Kallisty when i hear about stuff like this
","{""@kallisty"": 0.093832026, ""when"": -0.04692968, ""i"": 0.04451532999999999, ""hear"": -0.025727820000000012, ""about"": -0.09817070000000003, ""stuff"": -0.031034389999999995, ""like"": 0.00574593000000001, ""this"": -0.0015514500000000098}"
"@SirenSailor rtfm. http://t.co/jaMXHikl3u
","{""@sirensailor"": 0.06935851999999999, ""rtfm"": 0.061337909999999995, ""http://t.co/jamxhikl3u"": -0.10302638}"
"Who wants to take bets on if he starts talking about how disappointed he is in uppity women? @Stanford @wadhwa @StanfordMed
","{""who"": 0.009370449999999975, ""wants"": 0.0013635499999999912, ""to"": -0.01763859000000001, ""take"": -0.06009536999999998, ""bets"": -0.07172084000000001, ""on"": -0.03887704000000003, ""if"": -0.021668310000000024, ""he"": -0.013178530000000022, ""starts"": -0.04844540000000003, ""talking"": 0.016301809999999972, ""about"": -0.02171692000000003, ""how"": -0.007644950000000039, ""disappointed"": -0.016668269999999985, ""is"": 0.008860529999999978, ""in"": -0.02356574, ""uppity"": 0.13593243, ""women"": 0.12207984999999999, ""?"": -0.02094087, ""@stanford"": -0.061891609999999986, ""@wadhwa"": 0.02067195999999999, ""@stanfordmed"": 0.029739199999999966}"
"@HPluckrose @Feminazi_Front men and women have different physiology; not unequal physiology you agree good!
","{""@hpluckrose"": 0.021703479999999983, ""@feminazi_front"": 0.054931334999999984, ""men"": -0.06608024000000001, ""and"": -0.11010344, ""women"": -0.09491563, ""have"": -0.09505077, ""different"": -0.08885187, ""physiology"": 0.04644941599999999, "";"": -0.05785401000000001, ""not"": -0.00774045000000001, ""unequal"": 0.017110419999999987, ""you"": 0.014357329999999988, ""agree"": 0.00944900999999998, ""good"": -0.024857390000000007, ""!"": -0.02779536000000002}"
"@GordyPls bacon. By eating bacon.
","{""@gordypls"": 0.013516569999999992, ""bacon"": -0.05277443000000001, ""by"": -0.034961450000000005, ""eating"": -0.03385436}"
"@PeerWorker uh. because one group is literally killing people? are you nuts?
","{""@peerworker"": -0.0002020600000000039, ""uh"": 0.0034896700000000003, ""because"": 0.005439990000000061, ""one"": -0.022006360000000003, ""group"": -0.031195259999999947, ""is"": -0.01687425999999992, ""literally"": 0.0033672399999999936, ""killing"": 0.10090607000000007, ""people"": 0.05103010000000008, ""?"": -0.02237425999999998, ""are"": 0.027573540000000007, ""you"": 0.06549304, ""nuts"": 0.11449434000000003}"
"When the most you've got to throw at me is tweeting insults
","{""when"": -0.03405233000000002, ""the"": -0.005000249999999984, ""most"": -0.051308469999999995, ""you've"": -0.034488149999999995, ""got"": -0.028373849999999978, ""to"": -0.07529206, ""throw"": 0.005147400000000024, ""at"": -0.03408224999999998, ""me"": 0.03496537999999999, ""is"": -0.027351630000000016, ""tweeting"": -0.10577241999999998, ""insults"": 0.14892808}"
"@mwlauthor i've also got my phone docked next to my computer. It throws up a notification for DMs. I use the web interface on my PC to send.
","{""@mwlauthor"": 0.005550079999999999, ""i've"": 0.008443240000000005, ""also"": -0.012436459999999996, ""got"": -0.007394659999999997, ""my"": 0.008075960000000007, ""phone"": -0.03190451, ""docked"": -0.009478459999999994, ""next"": 0.0066761899999999985, ""to"": 0.00801130600000001, ""computer"": -0.003051100000000001, ""it"": -0.007207413999999995, ""throws"": 0.004632839999999999, ""up"": 0.01007667000000001, ""a"": 0.005089400000000008, ""notification"": -0.001348359999999993, ""for"": 0.008399920000000005, ""dms"": 0.0035791400000000084, ""i"": 0.004671480000000006, ""use"": -0.011918609999999996, ""the"": -0.0032681199999999994, ""web"": -0.021765049999999994, ""interface"": -0.019237874000000002, ""on"": -0.0023923199999999895, ""pc"": 0.015110570000000004, ""send"": 0.006038444000000004}"
"@voiceofrae @TheQuinnspiracy @Spacekatgal AND THIS IS CRAZY
","{""@voiceofrae"": -0.014738949999999973, ""@thequinnspiracy"": 0.036349049999999994, ""@spacekatgal"": 0.023565730000000007, ""and"": -0.08529704999999999, ""this"": -0.20404760000000005, ""is"": -0.1642866, ""crazy"": 0.15454442000000002}"
"#BlameOneNotAll becuase to do otherwise is to become a hateful bigot. Which should be the opposite of your goal.... http://t.co/6xCMHwqBmL
","{""#blameonenotall"": 0.12844345000000001, ""becuase"": 0.035904760000000036, ""to"": 0.07557712, ""do"": 0.047555470000000044, ""otherwise"": 0.024871290000000046, ""is"": 0.09246045000000003, ""become"": 0.010165090000000043, ""a"": 0.09065088000000004, ""hateful"": 0.25263494000000003, ""bigot"": 0.19486320000000001, ""which"": -0.004530459999999958, ""should"": 0.044206560000000006, ""be"": 0.008474079999999995, ""the"": -0.01600151999999999, ""opposite"": 0.008892270000000035, ""of"": 0.07150659000000004, ""your"": 0.07620826000000003, ""goal"": -0.10921407999999999, ""http://t.co/6xcmhwqbml"": -0.10821177999999998}"
"RT @thetrudz: Know who else wants ppl to #BlameOneNotAll? The police. As representative of State violence they want each shooting as ""isola…
","{""rt"": 0.04305892, ""@thetrudz"": 0.0795903, "":"": 0.07213583000000001, ""know"": 0.06046419999999997, ""who"": 0.024812799999999968, ""else"": -0.0006136399999999709, ""wants"": 0.024888699999999986, ""ppl"": 0.061446539999999994, ""to"": -0.00018483999999996392, ""#blameonenotall"": 0.03297188000000001, ""?"": 0.08954765999999997, ""the"": 0.06483625999999998, ""police"": 0.03630864, ""as"": 0.05508932, ""representative"": -0.0006996000000000224, ""of"": 0.02723489999999995, ""state"": -0.0014571599999999574, ""violence"": 0.04865853999999997, ""they"": -0.02611819999999998, ""want"": 0.010650570000000026, ""each"": 0.029959249999999993, ""shooting"": 0.15696385000000002, ""\"""": 0.038308169999999975, ""isola"": 0.04100041999999998, ""\u2026"": 0.028164560000000005}"
"LRT did not appear to be snark. o_O.  Pretty sure dude was serious.
","{""lrt"": 0.07359366, ""did"": 0.071962545, ""not"": 0.04793494000000001, ""appear"": 0.014068020000000014, ""to"": 0.04369936000000002, ""be"": 0.07232408500000001, ""snark"": 0.09818773, ""o_o"": 0.06960543000000001, ""pretty"": 0.07015993000000001, ""sure"": -0.015688359999999985, ""dude"": 0.06156371000000002, ""was"": 0.045535309999999996, ""serious"": 0.11405382600000001}"
"truly honored that I just got called a ""feminazi"" for defending black history month I'd like to thank all the privileged white boys
","{""truly"": 0.0019060499999999925, ""honored"": -0.019130749999999974, ""that"": 0.024838939999999976, ""i"": 0.021279999999999966, ""just"": -0.016570900000000055, ""got"": -0.02296463999999998, ""called"": -0.00793944000000002, ""a"": 0.06413824999999995, ""\"""": 0.01700210000000002, ""feminazi"": 0.2594551, ""for"": 0.024984200000000012, ""defending"": -0.01898500000000003, ""black"": 0.10704345999999998, ""history"": 0.024984200000000012, ""month"": -0.017736360000000007, ""i'd"": 0.005895569999999961, ""like"": -0.005587100000000067, ""to"": 0.0057180700000000195, ""thank"": -0.007585500000000023, ""all"": 0.013634929999999934, ""the"": 0.010126699999999933, ""privileged"": 0.015779600000000005, ""white"": 0.014367999999999936, ""boys"": 0.01176060000000001}"
"@wonderzombie world of warcraft related things.
","{""@wonderzombie"": 0.015549899999999998, ""world"": -0.001683160000000003, ""of"": -0.0027560749999999967, ""warcraft"": -0.008300760000000004, ""related"": -0.0175139, ""things"": -0.0019925840000000056}"
"@the_moth_reborn :P hopefully you didn't get spammed with notifications.
","{""@the_moth_reborn"": 0.08767725999999999, "":p"": 0.06230550999999998, ""hopefully"": -0.013373810000000014, ""you"": -0.0035058600000000273, ""didn't"": -0.08646642000000002, ""get"": 0.007098169999999987, ""spammed"": 0.04460283999999998, ""with"": -0.024106290000000002, ""notifications"": -0.0032399800000000034}"
"@0xabad1dea you are one of my favorite people
","{""@0xabad1dea"": 0.3481873, ""you"": 0.20217964, ""are"": 0.12213293000000003, ""one"": 0.07092493999999999, ""of"": 0.08120975000000002, ""my"": 0.16459736000000003, ""favorite"": -0.09967276999999997, ""people"": 0.06724638}"
"@marvelousmusing I should look and see if there's anything else to add to my CV beside feminist attack machine and feminazi chubster.
","{""@marvelousmusing"": -0.049025039999999964, ""i"": -0.0576731399999999, ""should"": -0.11407793999999993, ""look"": -0.13077520999999992, ""and"": 0.003196599999999994, ""see"": -0.08179049999999999, ""if"": -0.04794893999999994, ""there's"": -0.06829779999999996, ""anything"": -0.04788093999999998, ""else"": -0.07321773999999992, ""to"": -0.07334428999999998, ""add"": -0.08085696999999992, ""my"": -0.0019514399999999155, ""cv"": -0.11016643999999998, ""beside"": -0.09280913999999996, ""feminist"": -0.05843698999999991, ""attack"": 0.003940160000000081, ""machine"": 0.10122082000000004, ""feminazi"": 0.25174961000000007, ""chubster"": -0.052699199999999946}"
"@mykitchenrules Elegant and beautiful?Cheap and trashy!Nothing more unattractive than girls banging on about how hot hey are. #mkr #notsassy
","{""@mykitchenrules"": 0.0, ""elegant"": 0.03061116000000008, ""and"": 0.048807030000000085, ""beautiful"": 0.0, ""?"": 0.039290099999999994, ""cheap"": 0.0, ""trashy"": 0.06239530000000004, ""!"": 0.06239530000000004, ""nothing"": 0.027212500000000084, ""more"": 0.026912930000000057, ""unattractive"": 0.06239530000000004, ""than"": 0.08239675000000002, ""girls"": 0.10636450000000008, ""banging"": 0.1516288, ""on"": 0.0747723600000001, ""about"": 0.03338810000000003, ""how"": 0.05712826000000004, ""hot"": 0.0, ""hey"": -0.007465399999999955, ""are"": -0.011461249999999978, ""#mkr"": 0.06385770000000002, ""#notsassy"": 0.0775823000000001}"
"@seanbonner @metsfan anything that requires a government ID is a privacy concern. anything that requires money is a bad idea forever.
","{""@seanbonner"": 0.08794082, ""@metsfan"": 0.07934632999999999, ""anything"": 0.01863026000000001, ""that"": 0.05315987999999999, ""requires"": 0.024187979999999998, ""a"": 0.009172220000000009, ""government"": 0.09443603, ""id"": 0.0009332000000000229, ""is"": 0.007920590000000005, ""privacy"": -0.009525579999999978, ""concern"": -0.031796519999999995, ""money"": 0.010257090000000024, ""bad"": 0.11211225, ""idea"": -0.07403958, ""forever"": 0.036535260000000014}"
"RT @shanemadden: @freebsdgirl It's about ethics in controllers on dogs. http://t.co/oYgB4cLN9W
","{""rt"": 0.01598949999999999, ""@shanemadden"": 0.03106484000000001, "":"": -0.10922990000000002, ""@freebsdgirl"": -0.02936770999999999, ""it's"": -0.04941488000000002, ""about"": 0.009059230000000001, ""ethics"": -0.007605470000000003, ""in"": -0.17197512, ""controllers"": -0.11289671999999998, ""on"": -0.19558538, ""dogs"": 0.07219414999999998, ""http://t.co/oygb4cln9w"": -0.18443659999999998}"
"The two accounts I reported (@fart2continue and @imh8bit) were both suspended
","{""the"": -0.0026244100000000076, ""two"": -0.025998710000000008, ""accounts"": -0.027396530000000002, ""i"": 0.012394459999999996, ""reported"": 0.013420239999999993, ""("": -0.00886128, ""@fart2continue"": 0.005196569999999998, ""and"": -0.00899954, ""@imh8bit"": 0.0026689800000000014, "")"": -0.00995449000000001, ""were"": -0.013351816000000002, ""both"": -0.01947517, ""suspended"": 0.019519249999999995}"
"Anyone down to play some Heroes of the Storm? :D
","{""anyone"": 0.002818274999999995, ""down"": 0.006554207999999999, ""to"": 0.006439414999999997, ""play"": 0.020564578, ""some"": 0.028815155, ""heroes"": 0.010446814999999998, ""of"": -0.003860055000000008, ""the"": -0.005558634999999999, ""storm"": -0.0009000190000000019, ""?"": -0.007880205000000008, "":d"": -0.004316215000000005}"
"@BladeOfCreation shhh
","{""@bladeofcreation"": 0.18486397999999998, ""shhh"": 0.04660623}"
"@TransGeekMovie I'm trying to get more insight into trans issues - definitely a group that sees a substantial amount of online harassment :\
","{""@transgeekmovie"": 0.029584985999999994, ""i'm"": -0.041091784000000006, ""trying"": -0.029686134000000017, ""to"": -0.011793104000000013, ""get"": -0.005512744, ""more"": -0.008152514000000013, ""insight"": 0.0009262959999999931, ""into"": 0.008643185999999997, ""trans"": 0.03957778599999999, ""issues"": -0.025445164000000006, ""-"": -0.050325523999999996, ""definitely"": -0.013085944000000002, ""a"": -0.04119297400000001, ""group"": -0.013458444, ""that"": -0.0018562339999999983, ""sees"": -0.041122244000000016, ""substantial"": -0.027628884000000006, ""amount"": -0.004886414000000006, ""of"": -0.004859678000000006, ""online"": -0.05874821400000001, ""harassment"": 0.045604086, "":\\"": 0.004277365999999991}"
"@hestiahdruid want more fun stuff? google the name of the person i RTed. ;) that music.
","{""@hestiahdruid"": 0.006215765999999998, ""want"": -0.003219369999999999, ""more"": -0.008850330000000003, ""fun"": -0.02100589, ""stuff"": -0.017418180000000005, ""?"": -0.02668637, ""google"": -0.017869700000000002, ""the"": 0.0007221850000000002, ""name"": 0.00046335000000000126, ""of"": 0.004580249999999994, ""person"": 0.002545800000000001, ""i"": 0.004304189999999999, ""rted"": 0.0006085259999999981, "";)"": 0.0019340139999999978, ""that"": 0.0060933799999999955, ""music"": -0.00673762}"
